,Problem,Vehicles_cg,Distance_cg,LP_value_cg,Iterations,time_cg,Vehicles,Distance,Ratio
22,C101,10,828.937,828.9370000000001,33,3.674708127975464,10.0,828.94,1.0000036190928865
53,C102,10,830.815,830.815,75,25.136178016662598,10.0,828.94,0.9977431798896265
54,C103,10,831.14,831.14,90,70.45937204360962,10.0,828.06,0.996294246456674
55,C104,11,892.8629999999999,851.9879999999998,59,265.89023208618164,10.0,824.78,0.9237475402161363
52,C105,10,828.937,828.9369999999996,56,8.774034976959229,10.0,828.94,1.0000036190928865
23,C106,10,828.9370000000001,828.9369999999998,65,16.25105619430542,10.0,828.94,1.0000036190928863
28,C107,10,828.937,828.937,54,11.246424198150635,10.0,828.94,1.0000036190928865
25,C108,10,828.937,828.937,74,28.14068603515625,10.0,828.94,1.0000036190928865
27,C109,10,828.937,828.9369999999998,81,30.753324031829834,10.0,828.94,1.0000036190928865
8,C201,3,591.5550000000001,591.5549999999997,30,8.039602041244507,3.0,591.56,1.000008452299448
39,C202,4,656.4180000000001,613.3376966292132,68,44.79812407493591,3.0,591.56,0.9011940562263677
41,C203,6,757.4550000000002,693.8628532261193,108,99.50419807434082,3.0,591.17,0.7804688067277922
42,C204,6,736.319,685.8452791231733,183,723.2049899101257,3.0,590.6,0.802098003718497
38,C205,3,588.875,588.8750000000001,41,18.78939414024353,3.0,588.88,1.0000084907662916
9,C206,4,617.946,595.7996470588233,68,40.95451903343201,3.0,588.49,0.9523324044495797
13,C207,3,588.706,588.7059999999998,69,53.03807091712952,3.0,588.29,0.9992933654489676
10,C208,3,588.706,588.7060000000002,61,40.211127042770386,3.0,588.32,0.999344324671398
43,R101,20,1644.068,1636.4785,53,5.607412099838257,19.0,1650.8,1.004094721142921
17,R102,18,1475.0680000000002,1474.9919999999997,81,14.85624098777771,17.0,1486.12,1.0074925359373261
20,R103,15,1233.849,1218.9969105191253,82,31.552624225616455,13.0,1292.68,1.0476808750503506
21,R104,11,1014.6270000000002,971.1776785415772,77,49.096771001815796,9.0,1007.31,0.9927884828611891
16,R105,16,1386.3220000000001,1359.7728485436894,72,16.67519998550415,14.0,1377.11,0.9933550791230319
44,R106,14,1268.761,1241.5562719298246,75,27.664264917373657,12.0,1252.03,0.9868131192557148
48,R107,12,1080.372,1063.5887730254526,88,57.47721219062805,10.0,1104.66,1.022481145383257
45,R108,11,992.7159999999999,924.6678487048457,79,94.97044491767883,9.0,960.88,0.9679304050705339
47,R109,13,1176.818,1142.5760283026582,59,34.2110698223114,11.0,1194.73,1.0152207053257174
11,R110,13,1152.045,1078.0134396763938,80,78.285973072052,10.0,1118.84,0.9711773411628885
12,R111,13,1107.3960000000002,1060.4721486170424,69,41.842408895492554,10.0,1096.72,0.9903593655747356
40,R112,11,1039.455,962.4481690554015,83,89.72648215293884,9.0,982.14,0.9448605278727795
30,R201,9,1169.2469999999998,1157.5005483870968,135,139.53229403495789,4.0,1252.37,1.071091052617625
1,R202,8,1098.04,1047.8976631721991,111,237.1275179386139,3.0,1191.7,1.085297439073258
4,R203,6,915.2280000000001,880.5725577956988,140,284.6469168663025,3.0,939.5,1.0265201676522133
5,R204,5,784.4660000000001,736.9119608096868,96,980.2808620929718,2.0,825.52,1.0523336894142001
0,R205,7,1025.7560000000003,965.9837416536881,154,467.18230080604553,,,
31,R206,6,911.84,884.7154866541917,120,218.98417782783508,3.0,906.14,0.9937489033163712
37,R207,6,907.1800000000001,808.5148742187366,98,1597.5256960391998,2.0,890.61,0.9817346061421106
32,R208,4,810.022,705.2909094844024,72,6973.528065919876,2.0,726.82,0.897284271291397
36,R209,6,945.826,860.0755602152913,72,321.38990688323975,3.0,909.16,0.961233884456549
24,R210,7,971.0860000000001,908.9019735722972,139,496.24315786361694,3.0,939.37,0.9673396588973581
26,R211,6,855.3679999999998,749.4030675289499,89,784.8285148143768,2.0,885.71,1.0354724516231613
51,RC101,17,1661.977,1599.5069629629631,65,11.27651596069336,,,
18,RC102,14,1509.1860000000004,1420.3385380952386,71,23.493541955947876,12.0,1554.75,1.0301911096445366
15,RC103,12,1318.759,1241.0780948855106,81,41.75247001647949,11.0,1261.67,0.9567100584716389
14,RC104,12,1207.404,1128.1563651183083,73,52.36484098434448,10.0,1135.48,0.9404308748355977
19,RC105,16,1554.0479999999998,1483.008375,54,15.763942241668701,13.0,1629.44,1.048513302034429
50,RC106,13,1446.4199999999998,1342.6759915518826,66,30.083375215530396,11.0,1424.73,0.9850043555813666
46,RC107,12,1288.094,1201.7809038461542,71,31.25362205505371,11.0,1230.48,0.9552718978583861
49,RC108,12,1226.377,1110.0237754380094,72,54.65897488594055,10.0,1139.82,0.9294205615402115
35,RC201,8,1310.663,1279.1811666666672,107,87.85722184181213,4.0,1406.94,1.0734567161810473
6,RC202,9,1171.879,1121.4247812500005,132,131.7626428604126,3.0,1365.65,1.1653506889363152
3,RC203,7,1039.6390000000001,959.3063214158353,104,263.37461400032043,3.0,1049.62,1.0096004478477623
2,RC204,5,829.3819999999998,799.591925711078,146,1047.3394689559937,3.0,798.46,0.962716818064535
7,RC205,9,1217.8600000000001,1182.5586234567907,126,143.19695615768433,4.0,1297.65,1.065516561837978
34,RC206,6,1100.7510000000002,1077.7556329672861,129,210.68114566802979,3.0,1146.32,1.0413981000244377
29,RC207,7,1032.042,972.3243632352835,88,155.55804920196533,3.0,1061.14,1.028194588979906
33,RC208,6,862.8580000000001,790.8102740519163,78,345.58580207824707,3.0,828.14,0.959763947254357
